wl_home,fga_home,fg_pct_home,fg3a_home,fg3_pct_home,fta_home,ft_pct_home,oreb_home,dreb_home,stl_home,blk_home,tov_home,fga_away,fg_pct_away,fg3a_away,fg3_pct_away,fta_away,ft_pct_away,oreb_away,dreb_away,stl_away,blk_away,tov_away
W,90,0.556,43,0.419,15,0.733,5,38,5,1,14,101,0.455,33,0.364,21,0.619,14,32,5,4,10
L,100,0.41,46,0.348,23,0.826,15,39,4,4,13,96,0.458,38,0.342,23,0.826,10,40,5,5,10
L,86,0.407,32,0.406,16,0.75,13,37,4,6,9,77,0.429,34,0.382,28,0.714,7,36,3,3,9
W,89,0.584,38,0.474,21,0.762,6,31,9,9,5,82,0.451,24,0.333,28,0.643,11,31,2,1,14
L,76,0.513,21,0.238,20,0.6,10,36,5,6,22,87,0.46,36,0.417,22,0.818,11,25,12,4,10
W,84,0.464,32,0.219,31,0.839,6,46,8,5,16,91,0.407,25,0.16,22,0.818,7,36,8,2,13
L,94,0.457,38,0.342,27,0.852,15,25,5,6,16,95,0.505,27,0.407,26,0.885,15,33,12,5,11
W,82,0.512,38,0.474,36,0.972,11,25,10,4,11,76,0.645,26,0.538,27,0.778,6,25,3,4,16
L,102,0.52,34,0.441,16,0.688,12,25,12,2,12,84,0.595,29,0.379,33,0.788,11,35,5,6,17
W,82,0.561,28,0.536,25,0.76,9,25,8,7,18,85,0.482,35,0.429,29,0.793,10,22,14,5,17
W,78,0.474,30,0.433,28,0.714,7,42,11,7,23,97,0.392,34,0.324,16,0.75,15,36,9,5,19
L,85,0.435,38,0.316,21,0.762,8,34,4,7,15,82,0.488,29,0.379,28,0.714,4,32,8,5,9
W,90,0.444,33,0.303,30,0.767,11,45,12,9,20,106,0.377,34,0.235,18,0.889,17,31,11,2,14
L,97,0.433,28,0.179,20,0.7,17,40,5,10,14,98,0.398,38,0.316,23,0.783,15,33,13,7,8
W,89,0.573,36,0.472,18,0.833,6,35,9,4,10,90,0.522,41,0.488,15,0.667,8,27,5,5,13
W,85,0.506,32,0.438,28,0.786,14,30,7,5,22,88,0.477,31,0.323,37,0.703,11,25,10,3,14
L,73,0.479,32,0.406,13,0.923,4,30,6,2,19,97,0.495,40,0.3,7,0.714,11,30,12,8,10
W,99,0.424,37,0.27,28,0.786,14,31,9,10,8,88,0.489,24,0.208,25,0.76,11,34,5,5,16
W,94,0.5,39,0.564,13,0.923,15,40,3,10,18,96,0.406,25,0.24,18,0.722,10,30,10,5,14
L,95,0.442,40,0.4,24,0.625,9,23,8,4,7,84,0.607,38,0.5,15,0.8,7,40,4,9,15
W,75,0.493,33,0.515,21,0.667,9,33,4,3,17,87,0.46,33,0.364,16,0.688,10,31,8,4,12
L,85,0.447,26,0.192,20,0.85,14,29,5,3,16,80,0.488,33,0.333,13,0.769,7,27,8,5,12
L,89,0.528,30,0.333,26,0.846,8,30,6,2,9,83,0.506,30,0.367,41,0.78,6,35,7,3,11
W,94,0.362,33,0.364,23,0.783,14,37,7,2,8,74,0.432,32,0.313,27,0.778,5,39,5,6,17
L,87,0.494,32,0.406,40,0.775,11,30,10,3,20,98,0.561,52,0.442,24,0.708,13,37,11,6,19
W,88,0.557,40,0.55,14,0.929,10,43,10,5,25,98,0.408,36,0.333,10,0.8,10,21,14,3,15
W,84,0.512,27,0.407,24,0.667,8,32,10,3,11,83,0.434,46,0.391,11,0.727,8,29,5,4,18
W,92,0.598,33,0.606,22,0.773,8,28,11,4,10,90,0.522,27,0.481,26,0.769,14,26,7,4,15
W,88,0.5,30,0.367,30,0.667,12,35,11,5,23,91,0.451,42,0.381,22,0.727,12,29,8,7,19
W,86,0.477,40,0.4,26,0.846,9,37,8,4,16,85,0.447,16,0.125,34,0.706,11,31,8,7,15
W,95,0.463,34,0.324,18,0.667,15,32,13,3,11,85,0.459,33,0.303,19,0.632,9,34,6,4,19
W,90,0.456,34,0.441,35,0.8,17,28,12,4,8,82,0.488,41,0.439,26,0.692,14,33,4,4,17
L,80,0.438,35,0.371,26,0.577,12,26,3,3,10,77,0.455,28,0.429,31,0.968,9,37,6,3,11
L,82,0.439,28,0.357,33,0.515,10,32,7,5,9,89,0.449,26,0.269,16,0.875,14,36,4,5,8
L,90,0.456,32,0.406,27,0.778,10,32,10,2,12,79,0.544,27,0.519,31,0.645,9,33,4,7,16
L,86,0.43,46,0.37,25,0.84,11,27,5,7,12,86,0.523,30,0.333,27,0.778,10,41,5,5,13
W,80,0.438,34,0.235,27,0.815,12,30,16,1,22,78,0.474,30,0.267,18,0.778,8,33,17,4,25
W,88,0.443,35,0.371,25,0.84,6,34,10,5,17,92,0.435,32,0.344,27,0.704,15,37,8,4,20
L,83,0.542,25,0.44,20,0.85,6,34,5,4,18,89,0.506,34,0.382,22,0.864,6,30,11,2,12
L,86,0.535,19,0.368,7,0.714,6,35,7,9,14,85,0.447,35,0.457,15,0.933,11,30,9,8,15
L,84,0.548,33,0.394,29,0.759,4,25,6,5,9,93,0.527,28,0.429,23,0.826,16,30,4,3,15
W,91,0.418,31,0.387,35,0.686,14,41,9,8,15,96,0.375,37,0.351,26,0.846,11,37,10,4,15
W,83,0.458,41,0.415,24,0.833,3,27,12,9,12,79,0.481,24,0.375,33,0.576,15,41,4,6,23
W,86,0.558,22,0.318,17,0.647,9,32,9,3,9,86,0.453,39,0.359,11,0.909,7,29,3,6,16
W,95,0.537,34,0.529,25,0.72,9,37,6,5,8,90,0.467,34,0.412,24,0.833,9,32,3,10,11
L,84,0.5,33,0.424,19,0.842,10,25,7,8,15,86,0.488,43,0.535,19,0.684,14,31,9,4,18
W,87,0.471,38,0.316,28,0.857,13,40,1,2,15,93,0.484,40,0.4,11,0.636,8,28,4,1,9
W,93,0.409,41,0.317,41,0.805,10,37,7,7,10,102,0.422,29,0.31,40,0.65,24,39,6,7,14
W,83,0.614,28,0.5,26,0.692,12,26,16,4,18,84,0.44,32,0.25,37,0.784,16,23,7,2,21
L,88,0.42,39,0.41,23,0.696,13,33,6,1,11,80,0.538,41,0.439,20,0.65,6,36,7,6,11
W,80,0.463,38,0.474,28,0.821,10,27,7,1,10,69,0.478,20,0.2,27,0.741,5,34,3,1,16
L,89,0.573,26,0.538,14,0.714,12,22,3,1,7,81,0.63,28,0.536,20,0.7,11,21,4,2,9
W,100,0.56,34,0.382,16,0.875,14,25,6,4,7,83,0.59,30,0.433,17,0.765,9,25,5,3,12
W,75,0.52,30,0.5,34,0.882,5,37,2,5,15,91,0.451,35,0.286,24,0.75,11,28,9,5,11
W,108,0.398,41,0.317,30,0.733,18,45,10,5,17,100,0.4,52,0.346,23,0.87,8,39,10,7,16
W,89,0.506,40,0.425,23,0.913,8,29,12,5,15,87,0.529,28,0.5,27,0.741,8,30,8,6,16
L,85,0.376,37,0.243,29,0.759,13,31,4,3,16,81,0.506,26,0.308,19,0.789,5,38,8,8,15
W,85,0.459,28,0.393,41,0.683,12,37,4,3,16,82,0.524,26,0.423,25,0.6,2,32,10,6,13
L,97,0.402,34,0.235,27,0.815,17,32,7,3,17,92,0.543,23,0.304,21,0.905,11,37,11,8,14
W,97,0.454,34,0.324,22,0.727,15,27,10,7,8,82,0.512,35,0.457,21,0.667,11,36,4,7,19
L,96,0.417,26,0.269,27,0.667,20,29,9,4,9,95,0.442,42,0.381,19,0.842,18,34,5,9,14
L,84,0.524,42,0.381,24,0.75,10,21,5,3,16,86,0.57,26,0.5,20,0.95,7,28,7,4,12
L,89,0.483,34,0.324,18,0.778,6,30,9,3,7,87,0.494,30,0.3,27,0.778,14,33,3,5,11
W,85,0.529,21,0.381,32,0.75,8,26,10,2,16,81,0.519,32,0.375,28,0.786,12,24,6,10,19
L,91,0.505,32,0.313,20,0.75,12,35,4,5,20,96,0.5,36,0.25,25,0.68,11,26,14,10,10
L,80,0.463,30,0.433,18,0.611,9,29,5,3,18,94,0.532,35,0.343,16,0.75,10,33,11,2,11
W,93,0.505,38,0.421,21,0.762,13,29,12,7,19,94,0.415,33,0.364,24,0.667,20,28,9,10,24
W,87,0.517,32,0.594,22,0.773,9,35,4,7,8,92,0.402,34,0.441,21,0.667,16,34,1,6,13
W,86,0.535,39,0.487,21,0.905,6,36,5,5,12,101,0.455,35,0.371,27,0.63,20,30,7,5,9
W,97,0.381,34,0.206,28,0.893,13,41,12,4,16,88,0.42,23,0.13,24,0.875,10,39,10,8,21
W,88,0.5,32,0.344,28,0.821,11,31,8,6,12,83,0.458,40,0.325,25,0.96,5,30,3,4,13
L,82,0.5,34,0.353,20,0.8,8,25,4,5,19,73,0.534,31,0.419,34,0.853,8,25,12,4,15
L,101,0.455,41,0.439,18,0.833,16,25,9,6,6,84,0.536,34,0.382,28,0.821,14,36,0,5,18
L,99,0.424,31,0.29,35,0.8,20,34,3,5,12,96,0.396,44,0.295,41,0.829,14,28,8,12,6
W,91,0.538,33,0.364,35,0.857,9,30,4,5,2,100,0.49,30,0.367,31,0.742,17,31,0,7,8
W,76,0.592,27,0.481,22,0.818,2,26,9,5,16,89,0.483,31,0.258,20,0.95,12,29,10,4,16
W,80,0.488,28,0.321,33,0.788,13,30,5,4,15,75,0.507,27,0.37,22,0.773,3,25,9,1,17
